"geneid","foldChange","log2FoldChange","qvalue"
"CERK",0.746769493309305,-0.421265102446899,0.00897836039799339
"VPS54",0.772322627163492,-0.372724455454796,0.00580280608084919
"REV1",0.643288351792311,-0.636462529261434,0.00138765128747361
"FBXO3",0.620684262044039,-0.688068529214569,0.00336807811581901
"LZTFL1",0.50995595515078,-0.971555447861231,0.00051617946442255
"RPAP1",0.754112487812872,-0.407148354542686,0.00731826820452858
"DAZAP1",1.48483373512973,0.570301393697385,0.00684075558467458
"UFSP2",0.709463556260346,-0.495199517088979,0.00566464683624118
"CAPRIN2",0.711988035865223,-0.490075096312168,0.00489884724762431
"GREM1",2.3379194528929,1.22522522631366,0.00150827338484968
"BBS1",0.600985049678483,-0.734598992508284,0.000483436538255475
"COLGALT1",1.95643209575405,0.968225037752655,0.00139501090994195
"KCTD5",3.20561865224418,1.68060280938531,0.00065965023954463
"KLF11",0.525171285019028,-0.929140059260495,0.000414308223129375
"ZNF302",0.643169542311048,-0.636729006463217,0.0041697375038686
"THYN1",0.638161565400916,-0.648006372943971,0.00524815160279919
"SLC2A4RG",2.39281854678698,1.2587109979729,0.000824891522861583
"THEM6",2.5377698516899,1.34356123825659,0.00439407287712499
"ARHGEF3",0.652892657638853,-0.615082277728051,0.00841828405587109
"FOCAD",0.703468546205431,-0.507442176397712,0.00222833177751692
"WDR59",0.672169232968438,-0.573103586843811,0.0045667455811209
"GLYR1",1.40558113933404,0.491166737913244,0.00408399660446034
"HILPDA",1.46454030507181,0.550447897640002,0.0093110710679903
"DCP1A",0.694063872250468,-0.526859659837667,0.000568643425929635
"JADE1",0.680058238521372,-0.556269794365241,0.00171555706508692
"FAM13B",0.464849927355875,-1.1051630646983,0.000101232336229959
"UBE2W",1.74322699652957,0.801760444073193,0.00162397351871284
"RNF38",0.597521501430029,-0.742937466399248,0.000409328577309088
"HCFC1R1",1.87956761257928,0.910400813533821,0.00231628394185282
"CEP55",9.000120628362,3.16994433797269,1e-10
